,id,category,list_type,beds,baths,sq_ft_price,price_KES,district,neighborhood,street,latitude,longitude,clean_grab
0,3394167,Flat & Apartment,For Rent, 2,0,0,120000,Westlands,Brookside,0,-1.2561635,36.79194040000001,OK
1,3399035,Flat & Apartment,For Rent, 2,0,77,96000,Ridgeways,0,0,-1.2306875,36.8492471,OK
2,3433894,Flat & Apartment,For Rent, 2,0,46,70000,Dagoretti North,Valley Arcade,Lavington,-1.2907232,36.7691572,OK
3,3433821,Flat & Apartment,For Rent, 2, 2,0,200000,Westlands,Westlands Area,Kingfisher Nest,-1.2584527,36.8047544,OK
4,3433777,Flat & Apartment,For Rent, 4,0,0,110000,Westlands,Parklands,1St Parklands,-1.26327,36.8159483,OK
5,3433891,Flat & Apartment,For Rent, 3,0,23,130000,Dagoretti North,Lavington,0,-1.278937,36.7777984,OK
6,3433866,Flat & Apartment,For Rent, 2, 2,0,70000,Dagoretti North,Kilimani,Behind Junction Mall,-1.284168,36.824254,OK
7,3433673,Flat & Apartment,For Rent, 3, 2,0,240000,Westlands,Westlands Area,Peponi Road,-1.247638,36.796961,OK
8,3433825,Flat & Apartment,For Rent, 2, 2,0,26000,Dagoretti South,Uthiru/Ruthimitu,Ndumbuini,-1.2557958,36.7227025,OK
9,3433788,Studio,For Rent, 1, 1,0,65000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
10,3433720,Flat & Apartment,For Rent, 2, 2,0,200000,Westlands,Spring Valley,0,-1.2548381,36.79541469999999,OK
11,3433774,Flat & Apartment,For Rent, 2,0,0,260000,Westlands,Brookside,0,-1.2561635,36.79194040000001,OK
12,3433733,Flat & Apartment,For Rent, 2,0,0,90000,Westlands,Brookside,0,-1.2561635,36.79194040000001,OK
13,3433048,Flat & Apartment,For Rent, 2, 3,0,85000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
14,3433376,Flat & Apartment,For Rent, 2, 3,0,140000,Westlands,Westlands Area,Raphta Rd,-1.264044,36.7847029,OK
15,3433674,Flat & Apartment,For Rent, 4, 4,0,230000,Westlands,Westlands Area,0,-1.2675001,36.812022,OK
16,3423070,Flat & Apartment,For Rent, 3,0,0,100000,Dagoretti North,Kileleshwa,Kandara Road,-1.2757039,36.7892886,OK
17,3433333,Flat & Apartment,For Rent, 3, 3,0,250000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
18,3433340,Flat & Apartment,For Rent, 1, 1,0,110000,Westlands,Westlands Area,0,-1.2675001,36.812022,OK
19,3433600,Flat & Apartment,For Rent, 3, 3,0,350000,Westlands,Brookside,Brookeside Estate,-1.2561635,36.79194040000001,OK
20,3433819,Flat & Apartment,For Rent, 4, 3,0,100000,Westlands,Parklands,0,-1.2598822,36.8178918,OK
21,3392978,Flat & Apartment,For Rent, 2, 1,0,28500,Dagoretti South,Riruta,0,-1.2938321,36.7397964,OK
22,3431652,Flat & Apartment,For Rent, 2, 2,0,55000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
23,3432835,Flat & Apartment,For Rent,0,0,0,50000,Ngong Road,0,0,-1.334992,36.6726212,OK
24,3433084,Flat & Apartment,For Rent, 2, 3,0,100000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
25,3433552,Flat & Apartment,For Rent, 1, 2,67,65000,Dagoretti North,Kilimani,Denis Pritt,-1.2855426,36.7881148,OK
26,3433559,Flat & Apartment,For Rent, 3, 3,0,90000,Dagoretti North,Kileleshwa,Kileleshwa Near Kasuku Centre,-1.275441,36.794799,OK
27,3433441,Flat & Apartment,For Rent, 3,0,0,140000,Westlands,Rhapta Road,0,-1.2660783,36.8004109,OK
28,3433485,Flat & Apartment,For Rent, 3, 3,0,85000,Westlands,Loresho,Loresho Apartment,-1.2633227,36.7415671,OK
29,3433442,Flat & Apartment,For Rent, 3,0,0,160000,Westlands,Rhapta Road,0,-1.2660783,36.8004109,OK
30,3431279,Flat & Apartment,For Rent, 4, 4,0,150000,Westlands,Rhapta Road,0,-1.2660783,36.8004109,OK
31,3433443,Flat & Apartment,For Rent, 2,0,0,230000,Westlands,Brookside,0,-1.2561635,36.79194040000001,OK
32,3433444,Flat & Apartment,For Rent, 3,0,0,120000,Westlands,Rhapta Road,0,-1.2660783,36.8004109,OK
33,3433440,Flat & Apartment,For Rent, 3,0,0,140000,Westlands,General Mathenge,0,-1.2539757,36.7996946,OK
34,3433452,Flat & Apartment,For Rent, 4, 3,106,200000,Westlands,Parklands,1St Parklands Avenue,-1.26327,36.8159483,OK
