id,category,list_type,beds,baths,sq_ft_price,sq_ft_price_USD,price_KES,price_USD,district,neighborhood,street,County,SubCounty,Latitude,Longitude
3394167,Flat & Apartment,For Rent,2,0,0,0,120000,1131.435037,Westlands,Brookside,None,WESTLANDS,SPRING VALLEY,-1.256163,36.79194
3399035,Flat & Apartment,For Rent,2,0,77,0.726004149,96000,905.1480294,Ridgeways,None,None,WESTLANDS,MUTHAIGA,-1.230687,36.849247
3433894,Flat & Apartment,For Rent,2,0,46,0.433716764,70000,660.0037715,Dagoretti North,Valley Arcade,Lavington,WESTLANDS,MAZIWA,-1.290723,36.769157
3433821,Flat & Apartment,For Rent,2,2,0,0,200000,1885.725061,Westlands,Westlands Area,Kingfisher Nest,WESTLANDS,SPRING VALLEY,-1.258453,36.804754
3433777,Flat & Apartment,For Rent,4,0,0,0,110000,1037.148784,Westlands,Parklands,1St Parklands,WESTLANDS,MUTHAIGA,-1.26327,36.815948
3433891,Flat & Apartment,For Rent,3,0,23,0.216858382,130000,1225.72129,Dagoretti North,Lavington,None,WESTLANDS,LAVINGTON,-1.278937,36.777798
3433866,Flat & Apartment,For Rent,2,2,0,0,70000,660.0037715,Dagoretti North,Kilimani,Behind Junction Mall,WESTLANDS,KILIMANI,-1.298245,36.762148
3433673,Flat & Apartment,For Rent,3,2,0,0,240000,2262.870074,Westlands,Westlands Area,Peponi Road,WESTLANDS,SPRING VALLEY,-1.254521,36.802164
3433825,Flat & Apartment,For Rent,2,2,0,0,26000,245.144258,Dagoretti South,Uthiru/Ruthimitu,Ndumbuini,DAGORETTI,UTHIRU,-1.255796,36.722703
3433788,Studio,For Rent,1,1,0,0,65000,612.8606449,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3433720,Flat & Apartment,For Rent,2,2,0,0,200000,1885.725061,Westlands,Spring Valley,None,WESTLANDS,SPRING VALLEY,-1.254838,36.795415
3433774,Flat & Apartment,For Rent,2,0,0,0,260000,2451.44258,Westlands,Brookside,None,WESTLANDS,SPRING VALLEY,-1.256163,36.79194
