id,category,list_type,beds,baths,sq_ft_price,price_KES,district,neighborhood,street
3428432,Flat & Apartment,For Sale, 3, 2,None,18000000,Dagoretti North,Kileleshwa,Hamisi Road
3433663,Studio,For Sale, 1, 1,None,2000000,Dagoretti North,Naivasha Road,None
3433810,Flat & Apartment,For Sale, 3, 4,7548,13000000,Dagoretti North,Kilimani,Kilungu Road
3433808,Studio,For Sale, 1, 1,10839,3500000,Dagoretti North,Kilimani,Dennis Pritt
3433877,Flat & Apartment,For Sale, 3, 3,None,15500000,Westlands,Parklands,None
3433806,Flat & Apartment,For Sale, 4, 5,8153,21500000,Dagoretti North,Lavington,Othaya Road
3433752,Flat & Apartment,For Sale, 3, 4,9217,12500000,Dagoretti North,Kileleshwa,Laikipia Road
3433748,Flat & Apartment,For Sale, 4, 5,7774,20500000,Dagoretti North,Kileleshwa,Othaya Road Kileleshwa
3433739,Flat & Apartment,For Sale, 3, 4,9290,19800000,Dagoretti North,Kilimani,Elgeyo Marakwet
3433737,Flat & Apartment,For Sale, 3, 4,7883,14000000,Dagoretti North,Kilimani,Elgeyo Marakwet
3433544,Flat & Apartment,For Sale, 2, 2,None,8000000,Langata,South C,None
3433557,Flat & Apartment,For Sale, 4, 3,None,25000000,Westlands,Riverside,Riverside Drive
3433537,Flat & Apartment,For Sale, 3, 5,9290,16500000,Dagoretti North,Kilimani,None
3433584,Flat & Apartment,For Sale, 3, 2,8991,12000000,Dagoretti North,Lavington,None
3433588,Flat & Apartment,For Sale, 3, 4,7415,17000000,Dagoretti North,Lavington,None
3433558,Flat & Apartment,For Sale, 3, 4,8153,21500000,Dagoretti North,Kileleshwa,None
3433590,Flat & Apartment,For Sale, 2, 3,9585,13000000,Dagoretti North,Kilimani,None
3433591,Flat & Apartment,For Sale, 3, 3,12000,24000000,Dagoretti North,Kileleshwa,Kileleshwa Near The Bypass
3433511,Flat & Apartment,For Sale, 3, 2,7897,10200000,Dagoretti North,Kilimani,Denis Pritt
3433378,Studio,For Sale, 1, 1,9806,3800000,Dagoretti North,Kilimani,Kindaruma Rd
3424893,Flat & Apartment,For Sale, 3,None,13600,34000000,Westlands,Rhapta Road,None
3433030,Flat & Apartment,For Sale, 2, 2,9104,9800000,Dagoretti North,Kilimani,Muringa Road
3429583,Flat & Apartment,For Sale, 3, 2,None,14000000,Westlands,Parklands,None
3433297,Flat & Apartment,For Sale, 3, 3,796,18000000,Dagoretti North,Valley Arcade,Othaya Road
3429198,Flat & Apartment,For Sale, 3, 3,8183,17000000,Dagoretti North,Lavington,Near Valley Arcade
3432591,Flat & Apartment,For Sale, 2, 2,8129,9800000,Dagoretti North,Kilimani,Junction Mall
3432711,Flat & Apartment,For Sale, 3, 4,None,18000000,Dagoretti North,Valley Arcade,None
3433400,Flat & Apartment,For Sale, 3, 2,7804,10500000,Dagoretti North,Kilimani,None
3433380,Flat & Apartment,For Sale, 4,None,None,16500000,Dagoretti North,Kilimani,None
3433224,Flat & Apartment,For Sale, 3, 5,7415,16000000,Dagoretti North,Lavington,Valley Arcade
3432323,Flat & Apartment,For Sale, 3, 2,7146,13000000,Dagoretti North,Kilimani,Argwings Kodhek
3432075,Flat & Apartment,For Sale, 3, 3,None,26500000,Westlands,Rhapta Road,None
3432065,Flat & Apartment,For Sale, 3, 2,9032,17500000,Westlands,Loresho,Loresho Ridge
3432996,Flat & Apartment,For Sale, 3, 4,None,15000000,Dagoretti North,Kilimani,None
3432077,Flat & Apartment,For Sale, 3,None,None,26500000,Westlands,Parklands,General Mathenge
3433248,Flat & Apartment,For Sale, 2, 2,7897,8500000,Dagoretti North,Kileleshwa,Laikipia Road
3433202,Flat & Apartment,For Sale, 3, 4,79812,17000000,Dagoretti North,Lavington,None
3429210,Flat & Apartment,For Sale, 3, 3,10034,27000000,Dagoretti North,Kilimani,Argwings Kodhek Road
3429212,Flat & Apartment,For Sale, 3, 3,9246,21000000,Dagoretti North,Kileleshwa,Othaya Road
3432577,Flat & Apartment,For Sale, 2, 2,8079,12000000,Dagoretti North,Kilimani,Kindaruma Road
3415770,Flat & Apartment,For Sale, 2, 3,8650,11000000,Dagoretti North,Kilimani,None
3425081,Flat & Apartment,For Sale, 3, 4,7883,14000000,Dagoretti North,Kilimani,Muringa Road
3429217,Flat & Apartment,For Sale, 3, 3,9091,13700000,Dagoretti North,Kilimani,Ngong Road
3433152,Flat & Apartment,For Sale, 3, 4,None,17000000,Dagoretti North,Lavington,None
3433088,Flat & Apartment,For Sale, 2, 2,9231,12000000,Dagoretti North,Kileleshwa,None
3433179,Flat & Apartment,For Sale, 3, 3,8500,17000000,Dagoretti North,Kileleshwa,Kileleshwa Near Valley Arcade 17 04 10
3427274,Flat & Apartment,For Sale, 3, 3,9290,12000000,Dagoretti North,Kileleshwa,None
3430020,Flat & Apartment,For Sale, 2, 3,None,26000000,Westlands,General Mathenge,Gen. Mathege Road
3432377,Flat & Apartment,For Sale, 3, 3,8099,17000000,Dagoretti North,Lavington,Gitanga Road
3432923,Flat & Apartment,For Sale, 3, 2,None,13000000,Westlands,Waiyaki Way,None
3432370,Flat & Apartment,For Sale, 2, 2,10011,14000000,Dagoretti North,Kileleshwa,Othaya Road
3432574,Flat & Apartment,For Sale, 4, 4,8544,15450000,Dagoretti North,Kilimani,Junction Mall
3429718,Flat & Apartment,For Sale, 3,None,None,52000000,Westlands,Parklands,None
3432293,Flat & Apartment,For Sale, 3, 3,7689,12000000,Dagoretti North,Kileleshwa,Laikipia Road
3432822,Flat & Apartment,For Sale, 3, 5,7415,17000000,Dagoretti North,Valley Arcade,None
3429219,Flat & Apartment,For Sale, 3, 3,10529,17000000,Dagoretti North,Kileleshwa,Othaya Road
3430757,Flat & Apartment,For Sale, 3,None,None,36000000,Westlands,Westlands Area,None
3429670,Flat & Apartment,For Sale, 4, 5,None,65000000,Westlands,Riverside,Off Riverside Drive
3432299,Flat & Apartment,For Sale, 2, 2,6267,8500000,Dagoretti North,Kileleshwa,Laikipia Road
3433030,Flat & Apartment,For Sale, 2, 2,9104,9800000,Dagoretti North,Kilimani,Muringa Road
3428012,Flat & Apartment,For Sale, 3, 4,9290,16500000,Dagoretti North,Kilimani,None
3433571,Flat & Apartment,For Sale, 3, 4,9290,16000000,Dagoretti North,Kilimani,None
3432185,Flat & Apartment,For Sale, 3,None,None,25000000,Westlands,Parklands,None
3427090,Flat & Apartment,For Sale, 1,None,None,15533595,Westlands,Riverside,None
3431562,Flat & Apartment,For Sale, 2, 2,13626,22000000,Westlands,General Mathenge,None
3426360,Flat & Apartment,For Sale, 2, 3,8111,11000000,Dagoretti North,Kilimani,None
3431563,Flat & Apartment,For Sale, 2, 2,13,25000000,Westlands,General Mathenge,None
3432825,Flat & Apartment,For Sale, 3, 5,7415,17000000,Dagoretti North,Lavington,None
3432524,Flat & Apartment,For Sale, 1, 1,10000,4000000,Ngong Road,Near Ngong Race Course,Ngong Road
3432517,Flat & Apartment,For Sale, 3, 2,4722,8500000,Mombasa Road,Mombasa Road Behind Gate Way Mall,None
3430151,Flat & Apartment,For Sale, 3, 3,None,21000000,Westlands,Brookside,None
3429113,Flat & Apartment,For Sale, 2, 3,9848,10600000,Dagoretti North,Kileleshwa,Kileleshwa
3432563,Flat & Apartment,For Sale, 3, 4,None,17500000,Dagoretti North,Lavington,None
3430474,Flat & Apartment,For Sale, 4, 4,None,20000000,Dagoretti North,Lavington,None
3418942,Flat & Apartment,For Sale, 3, 3,None,22000000,Westlands,Brookside,None
3429218,Flat & Apartment,For Sale, 1, 1,10679,10000000,Dagoretti North,Kilimani,Denis Pritt Road
3426138,Flat & Apartment,For Sale, 3,None,None,25000000,Westlands,Riverside,Cabral Paved Drive
3427308,Flat & Apartment,For Sale, 2,None,10055,14000000,Westlands,Parklands,None
3429358,Flat & Apartment,For Sale, 3, 3,7963,12000000,Ngong Road,None,None
3429686,Flat & Apartment,For Sale, 2, 2,None,6800000,Thika Road,None,None
3428430,Flat & Apartment,For Sale, 2,None,None,13000000,Dagoretti North,Kilimani,Dennis Pritt Road
3409816,Flat & Apartment,For Sale, 2, 2,None,8000000,Langata,South B,Mkoma Road
3432829,Flat & Apartment,For Sale, 3, 5,7415,17000000,Dagoretti North,Kilimani,None
3428138,Flat & Apartment,For Sale, 4, 5,None,65000000,Westlands,Riverside,Riverside Drive
3432564,Flat & Apartment,For Sale, 3, 4,113333,16000000,Dagoretti North,Kilimani,None
3425480,Flat & Apartment,For Sale, 4,None,12308,32000000,Dagoretti North,Kilimani,Argwings Kodhek Road
3431181,Flat & Apartment,For Sale, 2, 2,9892,11500000,Dagoretti North,Kilimani,None
3426263,Flat & Apartment,For Sale, 2, 2,8430,9800000,Dagoretti North,Kilimani,Elgeyo Marakwet
3432674,Flat & Apartment,For Sale, 4, 4,None,12500000,Dagoretti North,Kileleshwa,None
3428200,Flat & Apartment,For Sale, 3, 3,None,23500000,Dagoretti North,Kilimani,None
